icao24,firstSeen,estDepartureAirport,lastSeen,estArrivalAirport,callsign,estDepartureAirportHorizDistance,estDepartureAirportVertDistance,estArrivalAirportHorizDistance,estArrivalAirportVertDistance,departureAirportCandidatesCount,arrivalAirportCandidatesCount,departure_dt,datetime,temperature_2m,precipitation,windspeed_10m,winddirection_10m,weathercode,visibility,cloudcover,flight_duration_s,delayed
4078b8,1685656700,EGLL,1685697167,SBMT,BAW247  ,1531,20,4285.0,665.0,2,2,2023-06-01 21:00:00,2023-06-01 21:00:00,12.2,0.0,19.7,38.0,3.0,,100.0,40467,1
a14bdd,1685656573,EGLL,1685693666,MMMX,AMX008  ,1339,17,6996.0,223.0,2,1,2023-06-01 21:00:00,2023-06-01 21:00:00,12.2,0.0,19.7,38.0,3.0,,100.0,37093,0
4bb26a,1685656448,EGLL,1685668257,LTFM,THY4NY  ,1405,50,4872.0,259.0,2,2,2023-06-01 21:00:00,2023-06-01 21:00:00,12.2,0.0,19.7,38.0,3.0,,100.0,11809,0
010206,1685656294,EGLL,1685669967,,MSR780  ,1457,50,,,2,0,2023-06-01 21:00:00,2023-06-01 21:00:00,12.2,0.0,19.7,38.0,3.0,,100.0,13673,0
89408b,1685656101,EGLL,1685677418,OBBI,GFA006  ,1764,2,20287.0,859.0,2,0,2023-06-01 21:00:00,2023-06-01 21:00:00,12.2,0.0,19.7,38.0,3.0,,100.0,21317,0
4ca2c9,1685656003,EGLL,1685658928,EICK,EIN725  ,820,10,696.0,114.0,3,0,2023-06-01 21:00:00,2023-06-01 21:00:00,12.2,0.0,19.7,38.0,3.0,,100.0,2925,0
46b82b,1685655933,EGLL,1685666989,LGAV,AEE609  ,1729,89,16614.0,835.0,2,0,2023-06-01 21:00:00,2023-06-01 21:00:00,12.2,0.0,19.7,38.0,3.0,,100.0,11056,0
76cdc3,1685655795,EGLL,1685701310,WSSS,SIA321  ,1683,2,3425.0,84.0,2,4,2023-06-01 21:00:00,2023-06-01 21:00:00,12.2,0.0,19.7,38.0,3.0,,100.0,45515,0
407537,1685655563,EGLL,1685658479,EGPK,SHT6P   ,894,2,19638.0,978.0,3,1,2023-06-01 21:00:00,2023-06-01 21:00:00,12.2,0.0,19.7,38.0,3.0,,100.0,2916,0
7c4921,1685655395,EGLL,1685702383,WSSS,QFA2    ,1509,40,3375.0,84.0,2,4,2023-06-01 21:00:00,2023-06-01 21:00:00,12.2,0.0,19.7,38.0,3.0,,100.0,46988,1
76cccd,1685655311,EGLL,1685657662,EHAM,SIA7395 ,623,20,1809.0,80.0,3,0,2023-06-01 21:00:00,2023-06-01 21:00:00,12.2,0.0,19.7,38.0,3.0,,100.0,2351,0
899039,1685655262,EGLL,1685696025,VTBS,EVA068  ,1883,5,8367.0,425.0,2,1,2023-06-01 21:00:00,2023-06-01 21:00:00,12.2,0.0,19.7,38.0,3.0,,100.0,40763,0
4009db,1685655176,EGLL,1685657138,EGCC,SHT2X   ,701,5,802.0,131.0,3,1,2023-06-01 21:00:00,2023-06-01 21:00:00,12.2,0.0,19.7,38.0,3.0,,100.0,1962,0
5001dc,1685655116,EGLL,1685668727,,MEA204  ,1479,111,,,2,0,2023-06-01 21:00:00,2023-06-01 21:00:00,12.2,0.0,19.7,38.0,3.0,,100.0,13611,0
8964fc,1685654975,EGLL,1685677847,OMAA,ETD42B  ,1511,50,13336.0,620.0,2,2,2023-06-01 21:00:00,2023-06-01 21:00:00,12.2,0.0,19.7,38.0,3.0,,100.0,22872,0
06a2b1,1685654833,EGLL,1685677349,OTHH,QTR1W   ,1543,5,2367.0,34.0,2,1,2023-06-01 21:00:00,2023-06-01 21:00:00,12.2,0.0,19.7,38.0,3.0,,100.0,22516,0
a8e132,1685654748,EGLL,1685679613,KIAD,UAL925  ,1405,28,1779.0,26.0,2,7,2023-06-01 21:00:00,2023-06-01 21:00:00,12.2,0.0,19.7,38.0,3.0,,100.0,24865,0
406b4a,1685654665,EGLL,1685669392,,VIR378  ,1548,32,,,2,0,2023-06-01 21:00:00,2023-06-01 21:00:00,12.2,0.0,19.7,38.0,3.0,,100.0,14727,0
40688b,1685654538,EGLL,1685691605,FABA,BAW57K  ,1912,17,8608.0,822.0,2,8,2023-06-01 21:00:00,2023-06-01 21:00:00,12.2,0.0,19.7,38.0,3.0,,100.0,37067,0
aa9808,1685654359,EGLL,1685689673,SKBO,AVA121  ,1558,5,4658.0,18.0,2,2,2023-06-01 21:00:00,2023-06-01 21:00:00,12.2,0.0,19.7,38.0,3.0,,100.0,35314,0
4caf7e,1685654288,EGLL,1685659374,EKCH,SAS1508 ,762,40,8194.0,284.0,3,1,2023-06-01 21:00:00,2023-06-01 21:00:00,12.2,0.0,19.7,38.0,3.0,,100.0,5086,0
77058c,1685654181,EGLL,1685689268,,ALK504  ,1742,12,,,2,0,2023-06-01 21:00:00,2023-06-01 21:00:00,12.2,0.0,19.7,38.0,3.0,,100.0,35087,0
405ee1,1685654103,EGLL,1685658609,,BAW8GT  ,1172,104,,,2,0,2023-06-01 21:00:00,2023-06-01 21:00:00,12.2,0.0,19.7,38.0,3.0,,100.0,4506,0
406d78,1685653987,EGLL,1685699169,VHHH,BAW27   ,2019,5,2642.0,82.0,2,1,2023-06-01 21:00:00,2023-06-01 21:00:00,12.2,0.0,19.7,38.0,3.0,,100.0,45182,1
80158c,1685653847,EGLL,1685667628,,VTI016  ,1766,2,,,2,0,2023-06-01 21:00:00,2023-06-01 21:00:00,12.2,0.0,19.7,38.0,3.0,,100.0,13781,0
4cad7b,1685653759,EGLL,1685657060,EIDW,EIN183  ,765,2,1660.0,73.0,3,4,2023-06-01 21:00:00,2023-06-01 21:00:00,12.2,0.0,19.7,38.0,3.0,,100.0,3301,0
4076cc,1685653706,EGLL,1685659096,LIMC,BAW582  ,653,12,1321.0,35.0,3,4,2023-06-01 21:00:00,2023-06-01 21:00:00,12.2,0.0,19.7,38.0,3.0,,100.0,5390,0
75044b,1685653597,EGLL,1685696810,,MAS1    ,1391,20,,,2,0,2023-06-01 21:00:00,2023-06-01 21:00:00,12.2,0.0,19.7,38.0,3.0,,100.0,43213,0
407600,1685653507,EGLL,1685658485,EKCH,BAW822  ,677,17,8460.0,307.0,3,1,2023-06-01 21:00:00,2023-06-01 21:00:00,12.2,0.0,19.7,38.0,3.0,,100.0,4978,0
4007f3,1685653399,EGLL,1685726066,EGLL,BAW198  ,1819,17,2416.0,32.0,2,8,2023-06-01 21:00:00,2023-06-01 21:00:00,12.2,0.0,19.7,38.0,3.0,,100.0,72667,1
80073e,1685653316,EGLL,1685681752,VIDP,AIC166  ,1612,25,3677.0,151.0,2,1,2023-06-01 21:00:00,2023-06-01 21:00:00,12.2,0.0,19.7,38.0,3.0,,100.0,28436,0
4065de,1685653245,EGLL,1685676343,OMDB,BAW109  ,1533,20,14002.0,598.0,2,2,2023-06-01 21:00:00,2023-06-01 21:00:00,12.2,0.0,19.7,38.0,3.0,,100.0,23098,0
405a47,1685653156,EGLL,1685656300,EGPH,SHT8G   ,821,10,1339.0,109.0,3,1,2023-06-01 20:00:00,2023-06-01 20:00:00,13.1,0.0,19.1,32.0,3.0,,91.0,3144,0
40624f,1685653111,EGLL,1685660589,LPPT,BAW54L  ,968,12,2661.0,68.0,3,4,2023-06-01 20:00:00,2023-06-01 20:00:00,13.1,0.0,19.1,32.0,3.0,,91.0,7478,0
4079f7,1685653044,EGLL,1685655533,EGNT,SHT12T  ,805,5,870.0,126.0,3,0,2023-06-01 20:00:00,2023-06-01 20:00:00,13.1,0.0,19.1,32.0,3.0,,91.0,2489,0
400a0e,1685652984,EGLL,1685657348,LFBO,BAW6DP  ,761,20,2017.0,7.0,3,3,2023-06-01 20:00:00,2023-06-01 20:00:00,13.1,0.0,19.1,32.0,3.0,,91.0,4364,0
e4818b,1685652768,EGLL,1685692039,SBMT,TAM8085 ,1985,2,4268.0,581.0,2,2,2023-06-01 20:00:00,2023-06-01 20:00:00,13.1,0.0,19.1,32.0,3.0,,91.0,39271,0
400d5b,1685652682,EGLL,1685660137,LHBP,BAW870  ,1079,32,3615.0,9.0,2,7,2023-06-01 20:00:00,2023-06-01 20:00:00,13.1,0.0,19.1,32.0,3.0,,91.0,7455,0
347287,1685652604,EGLL,1685659125,LEMD,IBE3179 ,788,25,3100.0,31.0,3,3,2023-06-01 20:00:00,2023-06-01 20:00:00,13.1,0.0,19.1,32.0,3.0,,91.0,6521,0
4cc576,1685652516,EGLL,1685656947,,ICE455  ,1201,35,,,2,0,2023-06-01 20:00:00,2023-06-01 20:00:00,13.1,0.0,19.1,32.0,3.0,,91.0,4431,0
885172,1685652365,EGLL,1685692795,VTBS,THA917  ,1528,28,9038.0,448.0,2,1,2023-06-01 20:00:00,2023-06-01 20:00:00,13.1,0.0,19.1,32.0,3.0,,91.0,40430,0
400d5a,1685652296,EGLL,1685657749,LKPR,BAW858  ,953,2,2150.0,44.0,3,8,2023-06-01 20:00:00,2023-06-01 20:00:00,13.1,0.0,19.1,32.0,3.0,,91.0,5453,0
8005f4,1685652189,EGLL,1685708532,VIDP,AIC130  ,1806,20,3514.0,167.0,2,1,2023-06-01 20:00:00,2023-06-01 20:00:00,13.1,0.0,19.1,32.0,3.0,,91.0,56343,1
4008b4,1685652113,EGLL,1685655854,EGPD,SHT18H  ,953,10,621.0,149.0,3,0,2023-06-01 20:00:00,2023-06-01 20:00:00,13.1,0.0,19.1,32.0,3.0,,91.0,3741,0
06a2af,1685651986,EGLL,1685674793,OTHH,QTR002  ,1177,28,2822.0,110.0,2,1,2023-06-01 20:00:00,2023-06-01 20:00:00,13.1,0.0,19.1,32.0,3.0,,91.0,22807,0
407844,1685651902,EGLL,1685655307,EGPH,SHT8Q   ,748,43,1284.0,117.0,3,1,2023-06-01 20:00:00,2023-06-01 20:00:00,13.1,0.0,19.1,32.0,3.0,,91.0,3405,0
4009c6,1685651850,EGLL,1685655977,LFLL,BAW364  ,849,66,7485.0,298.0,3,5,2023-06-01 20:00:00,2023-06-01 20:00:00,13.1,0.0,19.1,32.0,3.0,,91.0,4127,0
8964e2,1685651605,EGLL,1685674376,OMDB,UAE4    ,1536,2,13440.0,575.0,2,2,2023-06-01 20:00:00,2023-06-01 20:00:00,13.1,0.0,19.1,32.0,3.0,,91.0,22771,0
40749a,1685651357,EGLL,1685699177,WSSS,BAW15   ,1638,17,3410.0,84.0,2,4,2023-06-01 20:00:00,2023-06-01 20:00:00,13.1,0.0,19.1,32.0,3.0,,91.0,47820,1
4009d8,1685651250,EGLL,1685653510,LFPG,BAW326  ,819,12,4179.0,78.0,3,8,2023-06-01 20:00:00,2023-06-01 20:00:00,13.1,0.0,19.1,32.0,3.0,,91.0,2260,0
406a02,1685650987,EGLL,1685654224,EGPF,SHT6M   ,724,2,2809.0,38.0,3,0,2023-06-01 20:00:00,2023-06-01 20:00:00,13.1,0.0,19.1,32.0,3.0,,91.0,3237,0
76cd6d,1685650857,EGLL,1685695619,WSSS,SIA319  ,1405,2,3434.0,84.0,2,4,2023-06-01 20:00:00,2023-06-01 20:00:00,13.1,0.0,19.1,32.0,3.0,,91.0,44762,0
8963cf,1685650721,EGLL,1685673926,OMAA,ETD69K  ,1652,17,13183.0,620.0,2,2,2023-06-01 20:00:00,2023-06-01 20:00:00,13.1,0.0,19.1,32.0,3.0,,91.0,23205,0
71c075,1685650570,EGLL,1685652989,LFPG,KAL504  ,852,2,4310.0,86.0,3,8,2023-06-01 20:00:00,2023-06-01 20:00:00,13.1,0.0,19.1,32.0,3.0,,91.0,2419,0
4009f9,1685650472,EGLL,1685656685,ENGM,BAW6VK  ,1175,48,3674.0,28.0,2,1,2023-06-01 20:00:00,2023-06-01 20:00:00,13.1,0.0,19.1,32.0,3.0,,91.0,6213,0
406250,1685650402,EGLL,1685656419,LIPE,BAW544K ,736,28,3627.0,145.0,3,0,2023-06-01 20:00:00,2023-06-01 20:00:00,13.1,0.0,19.1,32.0,3.0,,91.0,6017,0
400936,1685650326,EGLL,1685653784,EGPH,SHT8V   ,814,2,1522.0,102.0,3,1,2023-06-01 20:00:00,2023-06-01 20:00:00,13.1,0.0,19.1,32.0,3.0,,91.0,3458,0
407d74,1685650270,EGLL,1685661383,LGAV,BAW26AV ,1197,17,27260.0,1232.0,2,0,2023-06-01 20:00:00,2023-06-01 20:00:00,13.1,0.0,19.1,32.0,3.0,,91.0,11113,0
406ae3,1685650149,EGLL,1685652482,EBBR,BAW404R ,648,10,1938.0,40.0,3,3,2023-06-01 20:00:00,2023-06-01 20:00:00,13.1,0.0,19.1,32.0,3.0,,91.0,2333,0
40649f,1685649943,EGLL,1685651745,EGCC,SHT2R   ,738,25,883.0,124.0,3,1,2023-06-01 20:00:00,2023-06-01 20:00:00,13.1,0.0,19.1,32.0,3.0,,91.0,1802,0
71c308,1685649836,EGLL,1685691807,RKSI,AAR522  ,1618,43,5099.0,229.0,2,1,2023-06-01 20:00:00,2023-06-01 20:00:00,13.1,0.0,19.1,32.0,3.0,,91.0,41971,0
405a49,1685649699,EGLL,1685653342,EDEL,BAW916N ,1402,12,8755.0,1860.0,2,3,2023-06-01 20:00:00,2023-06-01 20:00:00,13.1,0.0,19.1,32.0,3.0,,91.0,3643,0
406bbb,1685649630,EGLL,1685652948,EGPF,SHT6U   ,764,5,5242.0,91.0,3,0,2023-06-01 20:00:00,2023-06-01 20:00:00,13.1,0.0,19.1,32.0,3.0,,91.0,3318,0
70c0f9,1685649520,EGLL,1685672785,,OMA102  ,1471,5,,,2,0,2023-06-01 19:00:00,2023-06-01 19:00:00,14.5,0.0,19.8,33.0,2.0,,78.0,23265,0
407d75,1685649425,EGLL,1685654712,LFMD,BAW352  ,649,20,17732.0,910.0,3,1,2023-06-01 19:00:00,2023-06-01 19:00:00,14.5,0.0,19.8,33.0,2.0,,78.0,5287,0
407535,1685649368,EGLL,1685654129,EDDM,BAW958M ,666,32,2973.0,3.0,3,4,2023-06-01 19:00:00,2023-06-01 19:00:00,14.5,0.0,19.8,33.0,2.0,,78.0,4761,0
347344,1685649182,EGLL,1685655739,LEMD,IBE31YY ,816,2,2935.0,23.0,3,3,2023-06-01 19:00:00,2023-06-01 19:00:00,14.5,0.0,19.8,33.0,2.0,,78.0,6557,0
789231,1685649066,EGLL,1685692941,VHHH,CPA256  ,1242,20,2449.0,67.0,2,1,2023-06-01 19:00:00,2023-06-01 19:00:00,14.5,0.0,19.8,33.0,2.0,,78.0,43875,1
407534,1685648942,EGLL,1685652637,EDDL,BAW946  ,645,2,1459.0,29.0,3,4,2023-06-01 19:00:00,2023-06-01 19:00:00,14.5,0.0,19.8,33.0,2.0,,78.0,3695,0
4d24ba,1685648631,EGLL,1685658803,LMML,AMC103  ,1213,32,1415.0,15.0,2,0,2023-06-01 19:00:00,2023-06-01 19:00:00,14.5,0.0,19.8,33.0,2.0,,78.0,10172,0
4076e4,1685648562,EGLL,1685652303,EIDW,BAW82DM ,1025,17,1451.0,89.0,2,4,2023-06-01 19:00:00,2023-06-01 19:00:00,14.5,0.0,19.8,33.0,2.0,,78.0,3741,0
400942,1685648439,EGLL,1685652870,LSZH,BAW720T ,1063,28,1594.0,20.0,2,7,2023-06-01 19:00:00,2023-06-01 19:00:00,14.5,0.0,19.8,33.0,2.0,,78.0,4431,0
4076e3,1685648382,EGLL,1685655867,ESSA,BAW786F ,984,5,969.0,49.0,3,0,2023-06-01 19:00:00,2023-06-01 19:00:00,14.5,0.0,19.8,33.0,2.0,,78.0,7485,0
40615b,1685648340,EGLL,1685652486,LSGG,BAW738  ,835,43,1315.0,18.0,3,3,2023-06-01 19:00:00,2023-06-01 19:00:00,14.5,0.0,19.8,33.0,2.0,,78.0,4146,0
3c6541,1685648274,EGLL,1685653212,EDDM,DLH1LM  ,764,12,2792.0,11.0,3,4,2023-06-01 19:00:00,2023-06-01 19:00:00,14.5,0.0,19.8,33.0,2.0,,78.0,4938,0
06a070,1685648026,EGLL,1685670742,OTHH,QTR1B   ,1377,2,1006.0,49.0,2,1,2023-06-01 19:00:00,2023-06-01 19:00:00,14.5,0.0,19.8,33.0,2.0,,78.0,22716,0
4063de,1685647950,EGLL,1685652117,LSZM,BAW756  ,1003,96,480.0,65.0,2,4,2023-06-01 19:00:00,2023-06-01 19:00:00,14.5,0.0,19.8,33.0,2.0,,78.0,4167,0
486483,1685647892,EGLL,1685650636,EHAM,KLM36C  ,1321,5,1820.0,80.0,2,1,2023-06-01 19:00:00,2023-06-01 19:00:00,14.5,0.0,19.8,33.0,2.0,,78.0,2744,0
400b82,1685647813,EGLL,1685652104,EDDS,BAW92RU ,684,10,8.0,38.0,3,6,2023-06-01 19:00:00,2023-06-01 19:00:00,14.5,0.0,19.8,33.0,2.0,,78.0,4291,0
4077d4,1685647693,EGLL,1685677646,VIDP,VIR300  ,1249,43,3441.0,144.0,2,1,2023-06-01 19:00:00,2023-06-01 19:00:00,14.5,0.0,19.8,33.0,2.0,,78.0,29953,1
4063e6,1685647640,EGLL,1685671489,KJFK,VIR25B  ,1549,35,2230.0,19.0,2,1,2023-06-01 19:00:00,2023-06-01 19:00:00,14.5,0.0,19.8,33.0,2.0,,78.0,23849,0
4b0290,1685647445,EGLL,1685651816,LSZH,SWR339  ,1078,17,824.0,27.0,2,7,2023-06-01 19:00:00,2023-06-01 19:00:00,14.5,0.0,19.8,33.0,2.0,,78.0,4371,0
40621d,1685647307,EGLL,1685669557,KBOS,BAW239  ,966,5,1738.0,32.0,3,3,2023-06-01 19:00:00,2023-06-01 19:00:00,14.5,0.0,19.8,33.0,2.0,,78.0,22250,0
89639f,1685647118,EGLL,1685670320,OMDB,UAE67A  ,1567,12,14320.0,628.0,2,2,2023-06-01 19:00:00,2023-06-01 19:00:00,14.5,0.0,19.8,33.0,2.0,,78.0,23202,0
4952c1,1685647040,EGLL,1685654904,LPPT,TAP1369 ,817,20,1586.0,7.0,3,4,2023-06-01 19:00:00,2023-06-01 19:00:00,14.5,0.0,19.8,33.0,2.0,,78.0,7864,0
407994,1685646908,EGLL,1685692613,WSSS,BAW11   ,1598,43,3431.0,92.0,2,4,2023-06-01 19:00:00,2023-06-01 19:00:00,14.5,0.0,19.8,33.0,2.0,,78.0,45705,0
aaaa92,1685646848,EGLL,1685669956,KJFK,AAL141  ,1080,12,2392.0,3.0,2,2,2023-06-01 19:00:00,2023-06-01 19:00:00,14.5,0.0,19.8,33.0,2.0,,78.0,23108,0
4009c5,1685646769,EGLL,1685653471,LOWW,BAW706V ,918,12,1488.0,60.0,3,2,2023-06-01 19:00:00,2023-06-01 19:00:00,14.5,0.0,19.8,33.0,2.0,,78.0,6702,0
4ca216,1685646695,EGLL,1685650750,EIDW,EIN1YG  ,1152,5,1799.0,73.0,2,4,2023-06-01 19:00:00,2023-06-01 19:00:00,14.5,0.0,19.8,33.0,2.0,,78.0,4055,1
4ac9f2,1685646631,EGLL,1685651658,ENZV,SAS4628 ,771,12,8543.0,379.0,3,0,2023-06-01 19:00:00,2023-06-01 19:00:00,14.5,0.0,19.8,33.0,2.0,,78.0,5027,0
3c65d9,1685646565,EGLL,1685650633,EDEL,DLH8U   ,747,5,6147.0,1845.0,3,3,2023-06-01 19:00:00,2023-06-01 19:00:00,14.5,0.0,19.8,33.0,2.0,,78.0,4068,0
4864ee,1685646510,EGLL,1685648946,EHAM,KLM66Q  ,923,20,1107.0,80.0,3,1,2023-06-01 19:00:00,2023-06-01 19:00:00,14.5,0.0,19.8,33.0,2.0,,78.0,2436,0
3c48e8,1685646433,EGLL,1685649847,EDDK,EWG2LY  ,864,28,1583.0,61.0,3,2,2023-06-01 19:00:00,2023-06-01 19:00:00,14.5,0.0,19.8,33.0,2.0,,78.0,3414,0
406091,1685646372,EGLL,1685648717,EHAM,BAW444  ,672,58,2957.0,49.0,3,0,2023-06-01 19:00:00,2023-06-01 19:00:00,14.5,0.0,19.8,33.0,2.0,,78.0,2345,0
39e686,1685646312,EGLL,1685648795,LFPG,AFR77KK ,1252,17,3121.0,116.0,2,8,2023-06-01 19:00:00,2023-06-01 19:00:00,14.5,0.0,19.8,33.0,2.0,,78.0,2483,0
400935,1685646256,EGLL,1685651422,EDDB,BAW988  ,997,5,2286.0,20.0,3,3,2023-06-01 19:00:00,2023-06-01 19:00:00,14.5,0.0,19.8,33.0,2.0,,78.0,5166,0
8682da,1685646135,EGLL,1685695933,RJTT,JAL44   ,1636,20,4423.0,301.0,2,2,2023-06-01 19:00:00,2023-06-01 19:00:00,14.5,0.0,19.8,33.0,2.0,,78.0,49798,1
40097e,1685646070,EGLL,1685649935,EGPE,SHT16V  ,1075,35,7819.0,249.0,2,0,2023-06-01 19:00:00,2023-06-01 19:00:00,14.5,0.0,19.8,33.0,2.0,,78.0,3865,0
40697c,1685646009,EGLL,1685651690,LEBL,BAW482P ,950,20,3003.0,125.0,3,1,2023-06-01 19:00:00,2023-06-01 19:00:00,14.5,0.0,19.8,33.0,2.0,,78.0,5681,0
40624e,1685645936,EGLL,1685649775,EDDV,BAW978J ,636,12,3280.0,43.0,3,2,2023-06-01 18:00:00,2023-06-01 18:00:00,16.0,0.0,20.6,36.0,0.0,,13.0,3839,0
400981,1685645867,EGLL,1685652059,LIPZ,BAW598D ,885,28,2295.0,43.0,3,4,2023-06-01 18:00:00,2023-06-01 18:00:00,16.0,0.0,20.6,36.0,0.0,,13.0,6192,0
3c5ee2,1685645821,EGLL,1685648982,EDDL,EWG2EF  ,725,20,1459.0,29.0,3,4,2023-06-01 18:00:00,2023-06-01 18:00:00,16.0,0.0,20.6,36.0,0.0,,13.0,3161,0
440cac,1685645749,EGLL,1685652148,LOWW,AUA6EA  ,891,20,835.0,30.0,3,2,2023-06-01 18:00:00,2023-06-01 18:00:00,16.0,0.0,20.6,36.0,0.0,,13.0,6399,0
3c5eeb,1685645700,EGLL,1685649890,EDDH,EWG5AW  ,824,28,1147.0,8.0,3,3,2023-06-01 18:00:00,2023-06-01 18:00:00,16.0,0.0,20.6,36.0,0.0,,13.0,4190,0
71c008,1685645603,EGLL,1685688134,RKSI,KAL908  ,1974,43,9710.0,488.0,2,1,2023-06-01 18:00:00,2023-06-01 18:00:00,16.0,0.0,20.6,36.0,0.0,,13.0,42531,0
400afd,1685645500,EGLL,1685648693,EGPH,SHT8H   ,744,10,596.0,155.0,3,1,2023-06-01 18:00:00,2023-06-01 18:00:00,16.0,0.0,20.6,36.0,0.0,,13.0,3193,0
4076e2,1685645454,EGLL,1685653417,LIRF,BAW5FC  ,1004,5,3474.0,79.0,3,3,2023-06-01 18:00:00,2023-06-01 18:00:00,16.0,0.0,20.6,36.0,0.0,,13.0,7963,1
86953e,1685645352,EGLL,1685693785,RJTT,ANA212  ,1824,35,4241.0,256.0,2,2,2023-06-01 18:00:00,2023-06-01 18:00:00,16.0,0.0,20.6,36.0,0.0,,13.0,48433,1
4ca280,1685645280,EGLL,1685648337,EINN,EIN3YR  ,1253,20,16418.0,694.0,2,1,2023-06-01 18:00:00,2023-06-01 18:00:00,16.0,0.0,20.6,36.0,0.0,,13.0,3057,0
4cad89,1685645220,EGLL,1685651644,ENGM,SAS812  ,1059,2,3879.0,59.0,2,1,2023-06-01 18:00:00,2023-06-01 18:00:00,16.0,0.0,20.6,36.0,0.0,,13.0,6424,0
3c6545,1685645156,EGLL,1685648828,EDFZ,DLH3H   ,855,20,9769.0,1859.0,3,3,2023-06-01 18:00:00,2023-06-01 18:00:00,16.0,0.0,20.6,36.0,0.0,,13.0,3672,0
40688a,1685645100,EGLL,1685648032,EGAC,SHT4G   ,660,28,2020.0,50.0,3,2,2023-06-01 18:00:00,2023-06-01 18:00:00,16.0,0.0,20.6,36.0,0.0,,13.0,2932,0
407464,1685645046,EGLL,1685659941,LCLK,BAW26H  ,953,2,9804.0,454.0,3,0,2023-06-01 18:00:00,2023-06-01 18:00:00,16.0,0.0,20.6,36.0,0.0,,13.0,14895,0
40093f,1685644956,EGLL,1685646836,EGJJ,BAW1350 ,969,5,1551.0,0.0,3,0,2023-06-01 18:00:00,2023-06-01 18:00:00,16.0,0.0,20.6,36.0,0.0,,13.0,1880,0
40097d,1685644907,EGLL,1685648235,EGPH,SHT8M   ,815,5,1305.0,109.0,3,1,2023-06-01 18:00:00,2023-06-01 18:00:00,16.0,0.0,20.6,36.0,0.0,,13.0,3328,0
495151,1685644842,EGLL,1685652381,LPPT,TAP57W  ,1171,12,2401.0,53.0,2,4,2023-06-01 18:00:00,2023-06-01 18:00:00,16.0,0.0,20.6,36.0,0.0,,13.0,7539,0
4cad86,1685644788,EGLL,1685650079,EKCH,SAS78C  ,768,12,3800.0,71.0,3,0,2023-06-01 18:00:00,2023-06-01 18:00:00,16.0,0.0,20.6,36.0,0.0,,13.0,5291,0
3c65c7,1685644726,EGLL,1685649631,EDDM,DLH4MV  ,881,2,1990.0,11.0,3,4,2023-06-01 18:00:00,2023-06-01 18:00:00,16.0,0.0,20.6,36.0,0.0,,13.0,4905,0
407979,1685644609,EGLL,1685668629,KEWR,BAW81RC ,1703,32,713.0,28.0,2,5,2023-06-01 18:00:00,2023-06-01 18:00:00,16.0,0.0,20.6,36.0,0.0,,13.0,24020,0
406b21,1685644489,EGLL,1685680539,FABA,BAW55G  ,1957,2,8619.0,784.0,2,8,2023-06-01 18:00:00,2023-06-01 18:00:00,16.0,0.0,20.6,36.0,0.0,,13.0,36050,0
4007f7,1685644387,EGLL,1685674490,VIDP,BAW257  ,1402,25,3731.0,167.0,2,1,2023-06-01 18:00:00,2023-06-01 18:00:00,16.0,0.0,20.6,36.0,0.0,,13.0,30103,1
4b17e3,1685644292,EGLL,1685648656,LSGG,SWR37G  ,723,25,1308.0,18.0,3,3,2023-06-01 18:00:00,2023-06-01 18:00:00,16.0,0.0,20.6,36.0,0.0,,13.0,4364,0
406d77,1685644033,EGLL,1685667265,,BAW61   ,2027,5,,,2,0,2023-06-01 18:00:00,2023-06-01 18:00:00,16.0,0.0,20.6,36.0,0.0,,13.0,23232,0
4063e7,1685643873,EGLL,1685669784,KIAD,VIR21K  ,2102,50,1845.0,34.0,2,7,2023-06-01 18:00:00,2023-06-01 18:00:00,16.0,0.0,20.6,36.0,0.0,,13.0,25911,0
4ca85b,1685643788,EGLL,1685649105,LIML,ITY247  ,945,10,4219.0,166.0,3,1,2023-06-01 18:00:00,2023-06-01 18:00:00,16.0,0.0,20.6,36.0,0.0,,13.0,5317,0
4005ba,1685643667,EGLL,1685666788,KJFK,BAW183  ,1344,12,2829.0,34.0,2,2,2023-06-01 18:00:00,2023-06-01 18:00:00,16.0,0.0,20.6,36.0,0.0,,13.0,23121,0
406a3e,1685643600,EGLL,1685647937,EDDH,BAW972  ,759,50,1138.0,8.0,3,3,2023-06-01 18:00:00,2023-06-01 18:00:00,16.0,0.0,20.6,36.0,0.0,,13.0,4337,0
406a3d,1685643515,EGLL,1685655361,LTFM,BAW680  ,1025,20,5800.0,297.0,2,2,2023-06-01 18:00:00,2023-06-01 18:00:00,16.0,0.0,20.6,36.0,0.0,,13.0,11846,0
4cad7a,1685643452,EGLL,1685647565,EIDW,EIN17R  ,779,10,1170.0,104.0,3,4,2023-06-01 18:00:00,2023-06-01 18:00:00,16.0,0.0,20.6,36.0,0.0,,13.0,4113,1
407131,1685643355,EGLL,1685666579,,VIR354  ,1849,5,,,2,0,2023-06-01 18:00:00,2023-06-01 18:00:00,16.0,0.0,20.6,36.0,0.0,,13.0,23224,0
401240,1685643189,EGLL,1685652991,LROP,BAW84KV ,946,35,1022.0,49.0,3,2,2023-06-01 18:00:00,2023-06-01 18:00:00,16.0,0.0,20.6,36.0,0.0,,13.0,9802,0
406ae2,1685643120,EGLL,1685645591,EHAM,BAW442K ,655,5,1964.0,80.0,3,1,2023-06-01 18:00:00,2023-06-01 18:00:00,16.0,0.0,20.6,36.0,0.0,,13.0,2471,0
